par;ind;fam;cient;autor;verna;cap;ht;hc;qf;qc;estrato;obs
7;6;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;17;7;4;2;2;inter;
7;8;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;20;6;2;3;3;sub;bif
7;8;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;22;6;2;3;3;sub;bif
7;9;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;26;7;1,5;3;3;sub;
7;10;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;25;7;1,5;3;3;sub;
7;11;Sapindaceae;Matayba intermedia;Radlk.;Mata�ba;22;7;3,5;1;2;inter;
7;12;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;30;7,5;4;2;1;inter;
7;13;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;21;8;3;1;1;inter;
7;14;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;72;13;6;1;1;dossel;
7;15;Chloranthaceae;Hedyosmum brasiliense;Mart. ex Miq.;Ch�-de-bugre;24;5;1;3;2;sub;
7;16;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;19;7;3;3;2;inter;bif
7;16;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;20;7;3;3;2;inter;bif
7;17;;Morta;;;52;;;;;;Morta
7;18;Calophyllaceae;Calophyllum brasiliense;Cambess.;Guanandi;126;17;8;1;1;dossel;
7;19;;Morta;;;19;;;;;;Morta
7;20;;Morta;;;45;;;;;;Morta
7;21;Calophyllaceae;Calophyllum brasiliense;Cambess.;Guanandi;34;12;7;1;1;inter;
7;22;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;16,5;8;5;2;1;inter;
7;23;Boraginaceae;Cordia sellowiana;Cham.;Louro-mole;19;7;4;2;1;sub;
7;24;Sapotaceae;Manilkara subsericea;(Mart.) Dubard;Ma�aranduba;21;9;8;2;2;inter;coletada
7;25;Myrtaceae;Myrcia pubipetala;Miq.;Goiab�o;36;8;4;3;3;inter;
7;26;Myrtaceae;Myrcia brasiliensis;Kiaersk.;Cambuim;48;7;4;3;2;sub;
7;27;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;68;12;6;1;2;dossel;
7;28;Fabaceae;Platymiscium floribundum;Vogel;Jacarand�-do-litoral;17;5;3;3;3;sub;
7;30;Clusiaceae;Clusia criuva;Cambess.;Mangue-do-mato;33;13;4;2;2;inter;
7;31;Myrtaceae;Psidium cattleyanum;Sabine;Ara��;33;9;3;1;1;inter;
7;32;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;17;8;4;1;2;sub;
7;33;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;72;7;3,5;1;2;inter;
7;34;Malpighiaceae;Byrsonima ligustrifolia;A.Juss.;Murici-vermelho;57;13;7;1;2;dossel;
7;35;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;91;12;3;3;2;inter;
7;36;Arecaceae;Syagrus romanzoffiana;(Cham.) Glassman;Jeriv�;66;15;12;1;1;dossel;
7;37;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;19;7;3;3;3;sub;
7;38;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;22;6;3;3;3;sub;
7;39;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;72;16;8;2;1;dossel;
7;40;Humiriaceae;Humiriastrum dentatum;(Casar.) Cuatrec.;Umiri;44;9;3,5;3;2;inter;
7;41;Primulaceae;Myrsine venosa;A.DC.;Capororoca;33;5;2;3;3;sub;
7;42;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;27;8;4;2;3;inter;
7;43;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;29;8;3;3;3;inter;
7;44;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;36;9;4;2;2;inter;
7;45;Lauraceae;Ocotea mosenii;Mez;Canela-preta;36;12;10;1;1;dossel;
7;46;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;17;8;3;1;2;inter;
7;47;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;59;13;7;2;2;dossel;
7;48;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;29;9;3;3;2;inter;
8;1;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;27;8;4;2;1;inter;
8;2;Aquifoliaceae;Ilex pseudobuxus;Reissek;Ca�na;36;12;7;2;3;dossel;
8;3;Malpighiaceae;Byrsonima ligustrifolia;A.Juss.;Murici-vermelho;23;6,5;2,5;2;1;inter;
8;4;Arecaceae;Geonoma schottiana;Mart.;Guaricana;20;3,5;2;1;1;sub;
8;5;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;77;13;8;2;1;dossel;
8;6;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;18;6,5;4,5;2;2;inter;
8;7;Celastraceae;Monteverdia gonoclada;(Mart.) Biral;Espinheira-santa;42;12;8;2;3;dossel;bif
8;7;Celastraceae;Monteverdia gonoclada;(Mart.) Biral;Espinheira-santa;18;7;3;3;3;sub;bif
8;8;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;54;10;6;2;2;inter;
8;9;;;;;54;12;8;3;2;dossel;bif
8;9;;;;;49;9;3;3;1;inter;bif
8;10;Lauraceae;Nectandra oppositifolia;Nees;Canela-ferrugem;86;17;8;2;1;dossel;
8;11;Celastraceae;Monteverdia gonoclada;(Mart.) Biral;Espinheira-santa;26;8;4;2;2;inter;
8;12;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;23;11;5;2;1;inter;
8;13;Phyllanthaceae;Hyeronima alchorneoides;Allem�o;Cajueiro-bravo;27;10;5;2;1;inter;
8;14;Myrtaceae;Myrcia brasiliensis;Kiaersk.;Cambuim;18;5;2;3;3;sub;
8;15;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;18;7;4;2;2;sub;
8;16;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;24;9;4;2;1;inter;
8;17;Lauraceae;Nectandra oppositifolia;Nees;Canela-ferrugem;73;16;7;2;1;dossel;
8;18;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;44;12;4;3;2;inter;
8;19;Sapotaceae;Pouteria beaurepairei;(Glaz. & Raunk.) Baehni;Batat�;25;5;2;3;3;sub;
8;20;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;28;7;3;2;2;sub;
8;21;Celastraceae;Monteverdia gonoclada;(Mart.) Biral;Espinheira-santa;26;9;3;2;1;inter;
8;22;;Morta;;;26;;;;;;Morta
8;23;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;46;14;3;2;2;dossel;
8;24;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;81;15;4;3;1;dossel;bif
8;24;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;107;15;4;3;1;dossel;bif
8;25;Celastraceae;Monteverdia gonoclada;(Mart.) Biral;Espinheira-santa;20;6,5;4;2;2;sub;
8;26;Clusiaceae;Clusia criuva;Cambess.;Mangue-do-mato;23;8;4;3;1;inter;
8;27;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;58;13;3;3;2;inter;
8;28;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;49;10;3;3;2;inter;
8;29;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;56;10;3;3;1;inter;tri
8;29;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;40;6;2;3;2;inter;tri
8;29;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;32;7;2;3;2;inter;tri
8;30;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;35;12;6;2;1;dossel;
8;30;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;40;12;6;2;1;dossel;
8;31;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;21;8;4;2;2;inter;
8;32;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;27;8;5;3;2;sub;bif
8;32;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;22;8;5;3;2;sub;bif
8;33;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;28;9;5;2;2;dossel;
8;34;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;23;8;6;2;2;inter;
8;35;Phyllanthaceae;Hyeronima alchorneoides;Allem�o;Cajueiro-bravo;21;8;6;2;2;inter;
8;36;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;20;8;4;2;2;inter;
8;37;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;40;13;4,5;2;1;dossel;
8;38;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;43;12;6;2;1;dossel;
8;39;Arecaceae;Geonoma schottiana;Mart.;Guaricana;17;1,6;1;2;2;sub;
8;40;Lauraceae;Aniba firmula;(Nees & Mart.) Mez;Canela;66;15;7;3;3;dossel;
8;41;;Morta;;;26;;;;;dossel;Morta
8;42;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;26;9;4,5;1;1;inter;
8;43;Lauraceae;Nectandra oppositifolia;Nees;Canela-ferrugem;77;17;8;2;1;dossel;
8;44;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;53;13;7;2;2;dossel;
8;45;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;20;7;2;3;3;sub;
8;46;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;23;8;4;2;2;inter;
9;1;Annonaceae;Guatteria australis;A.St.-Hil.;Pinda�va-preta;17;7;3;3;3;sub;
9;2;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;104;15;2;3;2;dossel;bif
9;2;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;41;15;2;3;2;dossel;bif
9;3;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;38;12;5;2;2;inter;
9;4;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;55;16;5;1;1;dossel;
9;5;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;28;10;5;2;2;inter;
9;6;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;24;6;2,5;2;3;inter;
9;7;Melastomataceae;Miconia cinerascens;Miq.;Pixirica;20;7;2;3;3;sub;
9;8;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;65;15;7;2;1;dossel;
9;9;;Morta;;;49;;;;;;Morta
9;10;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;64;13;7;2;1;dossel;
9;11;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;42;9;4;3;2;inter;
9;12;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;41;9;5;1;1;inter;
9;13;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;37;10;4;2;2;dossel;
9;14;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;50;10;7;2;1;inter;
9;15;Fabaceae;Dalbergia brasiliensis;Vogel;Jacarand�;43;12;7;2;1;dossel;
9;16;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;23;8;2;2;2;sub;
9;17;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;61;14;4;1;1;dossel;tri
9;17;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;76;14;4;1;1;dossel;tri
9;17;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;63,5;14;4;1;1;dossel;tri
9;18;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;22;9;2;2;2;inter;
9;19;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;21;7;2,5;1;1;inter;
9;20;Indet.;Indet.;;;71;12;7;2;1;dossel;
9;21;Lauraceae;Aniba firmula;(Nees & Mart.) Mez;Canela;52;13;5;2;1;dossel;
9;22;Phyllanthaceae;Hyeronima alchorneoides;Allem�o;Cajueiro-bravo;40;10;5;2;1;inter;
9;23;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;29;7;2;3;2;inter;
9;24;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;21;7;3;3;3;inter;
9;25;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;64;13;4;2;1;dossel;
9;26;Myrtaceae;Myrcia glabra;(O.Berg) D.Legrand;Uv�;28;7;3;2;1;sub;
9;27;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;47;13;7;2;1;dossel;
9;28;Arecaceae;Geonoma schottiana;Mart.;Guaricana;20;2;1,5;2;2;sub;
9;29;Clusiaceae;Clusia criuva;Cambess.;Mangue-do-mato;52;10;4;2;1;inter;
9;30;Clusiaceae;Clusia criuva;Cambess.;Mangue-do-mato;20;6;2;2;2;sub;
9;31;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;35;10;4;3;2;inter;
9;32;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;42;11;5;2;1;dossel;
9;34;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;26;7;2;2;2;sub;
9;33;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;73;12;3;2;1;dossel;bif
9;33;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;55;12;3;2;1;dossel;bif
9;35;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;37;9;4;2;1;inter;
9;36;Arecaceae;Geonoma schottiana;Mart.;Guaricana;18;2;1,5;2;2;sub;
9;37;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;22;6;2;2;1;inter;
9;38;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;55;15;4;2;1;dossel;
9;39;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;36;8;2,5;1;1;inter;
9;40;Clethraceae;Clethra scabra;Pers.;Carne-de-vaca;105;17;4;2;1;dossel;
9;41;Clusiaceae;Clusia criuva;Cambess.;Mangue-do-mato;56;11;5;3;2;inter;bif
9;41;Clusiaceae;Clusia criuva;Cambess.;Mangue-do-mato;28;11;5;3;2;inter;bif
9;42;Celastraceae;Monteverdia gonoclada;(Mart.) Biral;Espinheira-santa;36;7;2;2;2;sub;
9;43;Clusiaceae;Clusia criuva;Cambess.;Mangue-do-mato;35;8;3;2;2;inter;
9;44;Sapotaceae;Manilkara subsericea;(Mart.) Dubard;Ma�aranduba;21;7;2;2;2;sub;
10;1;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;16,5;5;2;2;3;sub;
10;2;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;22;6;2;2;3;sub;bif
10;2;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;23;6;2;2;3;sub;bif
10;3;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;61;14;8;1;1;dossel;
10;4;Sapindaceae;Matayba intermedia;Radlk.;Mata�ba;42;14;6;2;1;dossel;
10;5;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;45;13;7;1;2;dossel;
10;6;Lauraceae;Nectandra oppositifolia;Nees;Canela-ferrugem;121;16;8;2;1;dossel;
10;7;Sapindaceae;Matayba intermedia;Radlk.;Mata�ba;42;12;6;2;1;dossel;
10;8;Sapindaceae;Matayba intermedia;Radlk.;Mata�ba;29;10;4;2;2;inter;
10;9;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;32;9;4;2;2;inter;
10;10;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;24;7;4;2;2;sub;bif
10;10;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;23;7;4;2;2;sub;bif
10;11;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;32;9;5;2;1;inter;
10;12;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;32;9;5;2;1;inter;
10;13;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;20;6;2;2;2;sub;
10;14;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;28;8;4;2;2;inter;
10;15;Rubiaceae;Posoqueria latifolia;(Rudge) Schult.;Ara��-da-praia;39;9;4;3;2;inter;
10;16;Peraceae;Pera glabrata;(Schott) Baill.;Sapateiro;63;13;4;2;1;dossel;
10;17;Lauraceae;Ocotea dispersa;(Nees & Mart.) Mez;Canela-sab�o;31;9;4;2;2;inter;
10;18;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;39;9;5;2;1;inter;tri
10;18;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;39;9;5;2;1;inter;tri
10;18;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;83;14;7;2;1;dossel;tri
10;19;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;46;10;5;2;1;dossel;
10;20;Calophyllaceae;Calophyllum brasiliense;Cambess.;Guanandi;29;8;3;2;1;inter;
10;21;Sapindaceae;Matayba intermedia;Radlk.;Mata�ba;26;6;4;2;2;inter;
